origin,destination,routeCount,ok,mismatches
Fenwood Road,JFK/UMass,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Hyde Park,Concord,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Pleasant Street,Davis,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Kingston,Assembly,8,true,""
Hawes Street,Fairmount,8,true,""
Southborough,Museum of Fine Arts,8,true,""
Newmarket,Orient Heights,8,true,""
Quincy Center,Providence,8,true,""
South Attleboro,Route 128,8,true,""
Broadway,Newburyport,8,true,""
Fenwood Road,Littleton/Route 495,8,true,""
Packards Corner,Wollaston,8,true,""
Wellesley Square,Norwood Depot,8,true,""
Ayer,Beverly,8,true,""
Central,Readville,8,true,""
Morton Street,Englewood Avenue,8,true,""
Chelsea,Coolidge Corner,8,true,""
Pleasant Street,Park Street,8,true,""
Waverley,Chelsea,8,true,""
Ruggles,Wonderland,8,true,""
Walpole,Brandon Hall,8,true,""
Orient Heights,West Hingham,8,true,""
Melrose/Cedar Park,Savin Hill,8,true,""
Kent Street,Roxbury Crossing,8,true,""
North Wilmington,South Weymouth,8,true,""
Providence,Beaconsfield,8,true,""
Malden Center,Saint Paul Street,8,true,""
Kendal Green,Park Street,8,true,""
Hastings,Needham Center,8,true,""
West Roxbury,Canton Center,8,true,""
Route 128,Braintree,8,true,""
Norwood Central,South Weymouth,8,true,""
Babcock Street,Sharon,8,true,""
T.F. Green Airport,West Hingham,8,true,""
Brandon Hall,Back Bay,8,true,""
Wellesley Square,Braintree,8,true,""
Stony Brook,Canton Center,8,true,""
Forge Park/495,Chelsea,8,true,""
West Natick,Ipswich,8,true,""
Wellesley Farms,Blandford Street,8,true,""
Islington,Back Bay,8,true,""
Wedgemere,Wollaston,8,true,""
Talbot Avenue,Reading,8,true,""
Silver Hill,Bradford,8,true,""
Wood Island,Concord,8,true,""
Harvard,Manchester,8,true,""
Stony Brook,Worcester/Union Station,8,true,""
Kendall/MIT,Porter,8,true,""
Wood Island,Stony Brook,8,true,""
Waverley,Ipswich,8,true,""
Whitman,Coolidge Corner,8,true,""
Quincy Adams,Providence,8,true,""
Maverick,Tappan Street,8,true,""
Revere Beach,Boston College,8,true,""
Concord,Plymouth,8,true,""
Weymouth Landing/East Braintree,South Street,8,true,""
Norfolk,Washington Square,8,true,""
Porter,Brookline Village,8,true,""
Suffolk Downs,Woodland,8,true,""
West Newton,Saint Paul Street,8,true,""
Sutherland Road,T.F. Green Airport,8,true,""
Coolidge Corner,Washington Street,8,true,""
Andrew,Tappan Street,8,true,""
South Station,Cleveland Circle,8,true,""
Kenmore,West Natick,8,true,""
Airport,Belmont,8,true,""
Newburyport,Revere Beach,8,true,""
West Hingham,Quincy Center,8,true,""
Mission Park,Kendal Green,8,true,""
Natick Center,Malden Center,8,true,""
Fenwood Road,Yawkey,8,true,""
Windsor Gardens,Green Street,8,true,""
Fields Corner,Summit Avenue,8,true,""
