origin,destination,routeCount,ok,mismatches
Littleton/Route 495,Morton Street,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Roslindale Village,Fenway,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Roxbury Crossing,Downtown Crossing,8,true,""
Lynn,Mission Park,8,true,""
Silver Hill,Mishawum,8,true,""
Mission Park,Roslindale Village,8,true,""
Assembly,Forest Hills,8,true,""
Warren Street,Dedham Corporate Center,8,true,""
Fields Corner,Brigham Circle,8,true,""
Back Bay,Ruggles,8,true,""
Pleasant Street,Mission Park,8,true,""
Foxboro,Central,8,true,""
Windsor Gardens,Englewood Avenue,8,true,""
Newmarket,Washington Square,8,true,""
Stony Brook,Concord,8,true,""
Whitman,Manchester,8,true,""
Hastings,Revere Beach,8,true,""
Blandford Street,Boston University East,8,true,""
Warren Street,Sullivan Square,8,true,""
Malden Center,Norwood Central,8,true,""
