file,line,theme,classes,fg_hex,bg_hex,contrast,passes
app\page.tsx,549,dark,"inline-flex items-center gap-1 rounded-full bg-blue-600 px-3 py-1 text-xs font-bold text-white shadow-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,556,light,"text-right",#0f172a,#ffffff,17.85,PASS
app\page.tsx,556,dark,"text-right",#e6eef8,#0b1220,16,PASS
app\page.tsx,557,light,"text-3xl font-bold tabular-nums text-foreground",#0f172a,#ffffff,17.85,PASS
app\page.tsx,557,dark,"text-3xl font-bold tabular-nums text-foreground",#e6eef8,#0b1220,16,PASS
app\page.tsx,559,light,"text-base font-semibold text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,559,dark,"text-base font-semibold text-gray-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,564,light,"mt-5 grid grid-cols-2 gap-4 text-sm sm:grid-cols-4",#0f172a,#ffffff,17.85,PASS
app\page.tsx,564,dark,"mt-5 grid grid-cols-2 gap-4 text-sm sm:grid-cols-4",#e6eef8,#0b1220,16,PASS
app\page.tsx,565,light,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#0f172a,#ffffff,17.85,PASS
app\page.tsx,565,dark,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,566,light,"text-xs font-semibold uppercase tracking-wide text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,566,dark,"text-xs font-semibold uppercase tracking-wide text-gray-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,569,light,"mt-1 text-lg font-bold text-gray-900",#0f172a,#ffffff,17.85,PASS
app\page.tsx,569,dark,"mt-1 text-lg font-bold text-gray-900",#e6eef8,#0b1220,16,PASS
app\page.tsx,574,light,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#0f172a,#ffffff,17.85,PASS
app\page.tsx,574,dark,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,575,light,"text-xs font-semibold uppercase tracking-wide text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,575,dark,"text-xs font-semibold uppercase tracking-wide text-gray-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,579,light,"mt-1 text-lg font-bold ${route.reliabilityScore >= 80 ? 'text-green-600' : route.reliabilityScore >= 50 ? 'text-yellow-600' : 'text-red-600'}",#0f172a,#ffffff,17.85,PASS
app\page.tsx,579,dark,"mt-1 text-lg font-bold ${route.reliabilityScore >= 80 ? 'text-green-600' : route.reliabilityScore >= 50 ? 'text-yellow-600' : 'text-red-600'}",#e6eef8,#0b1220,16,PASS
app\page.tsx,582,light,"text-sm",#0f172a,#ffffff,17.85,PASS
app\page.tsx,582,dark,"text-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,586,light,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#0f172a,#ffffff,17.85,PASS
app\page.tsx,586,dark,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#e6eef8,#0b1220,16,PASS
app\page.tsx,587,light,"text-xs font-semibold uppercase tracking-wide text-gray-500",#0f172a,#ffffff,17.85,PASS
app\page.tsx,587,dark,"text-xs font-semibold uppercase tracking-wide text-gray-500",#e6eef8,#0b1220,16,PASS
app\page.tsx,590,light,"mt-1 text-lg font-bold text-foreground",#0f172a,#ffffff,17.85,PASS
app\page.tsx,590,dark,"mt-1 text-lg font-bold text-foreground",#e6eef8,#0b1220,16,PASS
app\page.tsx,597,light,"rounded-lg bg-background/80 text-foreground p-3 shadow-sm",#0f172a,#ffffff,17.85,PASS
