origin,destination,routeCount,ok,mismatches
Revere Beach,Washington Square,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Kingston,North Scituate,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Fields Corner,Downtown Crossing,8,true,""
Chiswick Road,Norwood Central,8,true,""
Fairbanks Street,Jackson Square,8,true,""
Route 128,Forest Hills,8,true,""
Central,Savin Hill,8,true,""
Stoughton,Abington,8,true,""
West Hingham,Beverly,8,true,""
Copley,Fenwood Road,8,true,""
Malden Center,Revere Beach,8,true,""
Suffolk Downs,Islington,8,true,""
Harvard Avenue,Alewife,8,true,""
Eliot,Blandford Street,8,true,""
West Hingham,Ayer,8,true,""
Symphony,Plimptonville,8,true,""
Blandford Street,Wellesley Square,8,true,""
Needham Heights,Prides Crossing,8,true,""
Fairbanks Street,Charles/MGH,8,true,""
Westborough,Uphams Corner,8,true,""
