origin,destination,routeCount,ok,mismatches
Summit Avenue,Heath Street,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Babcock Street,Beaconsfield,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Arlington,Providence,8,true,""
Andover,Blandford Street,8,true,""
Waban,Harvard Avenue,8,true,""
Longwood Medical Area,Orient Heights,8,true,""
Swampscott,Kingston,8,true,""
Allston Street,Downtown Crossing,8,true,""
Needham Junction,Oak Grove,8,true,""
Aquarium,North Leominster,8,true,""
Maverick,Aquarium,8,true,""
Washington Street,Beverly Farms,8,true,""
South Street,Melrose Highlands,8,true,""
North Leominster,Newton Highlands,8,true,""
Greenwood,Rowley,8,true,""
Airport,Davis,8,true,""
Green Street,West Gloucester,8,true,""
Abington,Wilmington,8,true,""
Heath Street,Franklin/Dean College,8,true,""
Bowdoin,Coolidge Corner,8,true,""
Bradford,Endicott,8,true,""
Canton Center,Forest Hills,8,true,""
Concord,Ashmont,8,true,""
Boylston,JFK/UMass,8,true,""
Hamilton/Wenham,Eliot,8,true,""
Hawes Street,Fields Corner,8,true,""
Shawmut,Endicott,8,true,""
Cohasset,Newton Centre,8,true,""
Chestnut Hill,Aquarium,8,true,""
Wedgemere,Kendall/MIT,8,true,""
Mission Park,Revere Beach,8,true,""
Brookline Hills,Yawkey,8,true,""
Talbot Avenue,Readville,8,true,""
Plimptonville,West Natick,8,true,""
Warren Street,Winchester Center,8,true,""
Beverly Farms,Hastings,8,true,""
Bellevue,Porter,8,true,""
Route 128,Ashmont,8,true,""
Dedham Corporate Center,Wilmington,8,true,""
Quincy Adams,Kingston,8,true,""
Kent Street,Wachusett,8,true,""
Roxbury Crossing,Mishawum,8,true,""
Heath Street,Greenwood,8,true,""
Westborough,Gloucester,8,true,""
Chelsea,Cleveland Circle,8,true,""
Summit Avenue,Symphony,8,true,""
Arlington,Chestnut Hill,8,true,""
Wyoming Hill,Foxboro,8,true,""
Haymarket,Rowley,8,true,""
Reservoir,Museum of Fine Arts,8,true,""
Foxboro,Andrew,8,true,""
Anderson/Woburn,Lincoln,8,true,""
Greenbush,Stoughton,8,true,""
Ayer,Newton Highlands,8,true,""
Prudential,Washington Street,8,true,""
Canton Center,Allston Street,8,true,""
Prudential,Needham Junction,8,true,""
South Station,Natick Center,8,true,""
Chiswick Road,Rowley,8,true,""
Concord,Chelsea,8,true,""
Reservoir,Waltham,8,true,""
Haymarket,Riverway,8,true,""
Prudential,Wellesley Hills,8,true,""
Brandon Hall,Cohasset,8,true,""
Ayer,Natick Center,8,true,""
Wedgemere,Montserrat,8,true,""
Eliot,Brigham Circle,8,true,""
Washington Square,Griggs Street,8,true,""
Whitman,Belmont,8,true,""
Warren Street,Boston University Central,8,true,""
Worcester/Union Station,Haymarket,8,true,""
Back Bay,Quincy Center,8,true,""
Warren Street,State,8,true,""
Whitman,Brookline Hills,8,true,""
Greenwood,North Quincy,8,true,""
Mansfield,Boston College,8,true,""
Silver Hill,Babcock Street,8,true,""
Jackson Square,Symphony,8,true,""
Riverside,West Medford,8,true,""
Morton Street,Andover,8,true,""
Greenwood,Hyde Park,8,true,""
Hersey,Back of the Hill,8,true,""
Wachusett,North Wilmington,8,true,""
Concord,Back of the Hill,8,true,""
Weymouth Landing/East Braintree,Downtown Crossing,8,true,""
Central,Sharon,8,true,""
Lincoln,Yawkey,8,true,""
Washington Street,Tappan Street,8,true,""
Newmarket,Suffolk Downs,8,true,""
Oak Grove,Providence,8,true,""
Reservoir,Boston University East,8,true,""
Belmont,Back Bay,8,true,""
Needham Center,Brigham Circle,8,true,""
Franklin/Dean College,Newmarket,8,true,""
Beaconsfield,Tappan Street,8,true,""
Uphams Corner,Bradford,8,true,""
Windsor Gardens,Ipswich,8,true,""
Manchester,Mission Park,8,true,""
Wedgemere,Wood Island,8,true,""
Ipswich,Chinatown,8,true,""
Davis,Fenway,8,true,""
Talbot Avenue,Foxboro,8,true,""
Saint Marys Street,Franklin/Dean College,8,true,""
Lincoln,Chelsea,8,true,""
Symphony,Brandon Hall,8,true,""
Readville,Ayer,8,true,""
Airport,Coolidge Corner,8,true,""
Bellevue,Lowell,8,true,""
North Scituate,Newmarket,8,true,""
Newmarket,Chiswick Road,8,true,""
Museum of Fine Arts,Massachusetts Avenue,8,true,""
Government Center,Beverly,8,true,""
Grafton,Greenbush,8,true,""
Greenwood,West Medford,8,true,""
Hastings,Davis,8,true,""
North Quincy,Wedgemere,8,true,""
Downtown Crossing,Swampscott,8,true,""
Chelsea,Brigham Circle,8,true,""
Waban,Westborough,8,true,""
Kenmore,Greenbush,8,true,""
Fenway,North Scituate,8,true,""
Kenmore,Quincy Adams,8,true,""
South Weymouth,South Street,8,true,""
Southborough,Riverside,8,true,""
Brandeis/Roberts,Braintree,8,true,""
Wilmington,Back of the Hill,8,true,""
Shirley,Tappan Street,8,true,""
Wachusett,Silver Hill,8,true,""
Wellesley Hills,North Station,8,true,""
Hawes Street,Washington Square,8,true,""
Newmarket,Government Center,8,true,""
Back of the Hill,Boston University East,8,true,""
Cohasset,Endicott,8,true,""
Fairbanks Street,Swampscott,8,true,""
Science Park/West End,Providence,8,true,""
Park Street,Stony Brook,8,true,""
Lynn,Eliot,8,true,""
Ayer,Brookline Village,8,true,""
Woodland,Wellington,8,true,""
Southborough,Government Center,8,true,""
Norfolk,Ipswich,8,true,""
Riverside,Babcock Street,8,true,""
Symphony,Kendal Green,8,true,""
Sullivan Square,Copley,8,true,""
Lechmere,Park Street,8,true,""
Needham Center,Longwood Medical Area,8,true,""
Attleboro,Riverside,8,true,""
South Weymouth,Melrose Highlands,8,true,""
Swampscott,Heath Street,8,true,""
Hastings,West Medford,8,true,""
Wickford Junction,Salem,8,true,""
Wachusett,Gloucester,8,true,""
East Weymouth,West Newton,8,true,""
JFK/UMass,Back Bay,8,true,""
West Hingham,Blandford Street,8,true,""
Waltham,South Street,8,true,""
Andrew,Brookline Village,8,true,""
Massachusetts Avenue,Saint Paul Street,8,true,""
Longwood Medical Area,Riverway,8,true,""
Riverside,Suffolk Downs,8,true,""
North Leominster,Weymouth Landing/East Braintree,8,true,""
South Attleboro,Andrew,8,true,""
Saint Marys Street,Massachusetts Avenue,8,true,""
Roxbury Crossing,Southborough,8,true,""
Harvard,Wellesley Farms,8,true,""
Natick Center,Salem,8,true,""
Packards Corner,Warren Street,8,true,""
Greenwood,Manchester,8,true,""
Lincoln,Riverway,8,true,""
Attleboro,Mishawum,8,true,""
Saint Marys Street,Longwood Medical Area,8,true,""
Manchester,Kingston,8,true,""
Morton Street,Whitman,8,true,""
Needham Heights,Orient Heights,8,true,""
Chestnut Hill,Waltham,8,true,""
Wyoming Hill,Saint Paul Street,8,true,""
Worcester/Union Station,Mishawum,8,true,""
Rowley,East Weymouth,8,true,""
Silver Hill,South Weymouth,8,true,""
Boston University Central,Saint Paul Street,8,true,""
Manchester,Assembly,8,true,""
Wellesley Square,Shawmut,8,true,""
North Billerica,Malden Center,8,true,""
Science Park/West End,South Attleboro,8,true,""
West Gloucester,Hersey,8,true,""
West Hingham,Charles/MGH,8,true,""
Hersey,Longwood Medical Area,8,true,""
Washington Square,Oak Grove,8,true,""
Northeastern University,Saint Paul Street,8,true,""
