origin,destination,routeCount,ok,mismatches
Wood Island,Wachusett,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Melrose/Cedar Park,Alewife,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Griggs Street,West Hingham,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Wedgemere,Alewife,8,true,""
Summit Avenue,Chestnut Hill,8,true,""
Wonderland,Cleveland Circle,8,true,""
Fitchburg,West Newton,8,true,""
Walpole,Lowell,8,true,""
Fairbanks Street,Eliot,8,true,""
Chestnut Hill,Boylston,8,true,""
Broadway,Yawkey,8,true,""
Southborough,Lechmere,8,true,""
Belmont,Swampscott,8,true,""
Yawkey,Riverway,8,true,""
Wyoming Hill,Tufts Medical Center,8,true,""
Chelsea,Ashland,8,true,""
Orient Heights,Franklin/Dean College,8,true,""
Back Bay,Beverly Farms,8,true,""
Beachmont,Plimptonville,8,true,""
Sullivan Square,Boston College,8,true,""
Oak Grove,Chelsea,8,true,""
Brookline Hills,Fenway,8,true,""
Walpole,Tappan Street,8,true,""
Wollaston,Weymouth Landing/East Braintree,8,true,""
Canton Junction,Revere Beach,8,true,""
Brookline Hills,Framingham,8,true,""
Bradford,Longwood Medical Area,8,true,""
Boston University Central,Revere Beach,8,true,""
South Weymouth,Endicott,8,true,""
Waban,Ruggles,8,true,""
Bradford,Beverly Farms,8,true,""
Cleveland Circle,Hastings,8,true,""
South Weymouth,State,8,true,""
Davis,Saint Paul Street,8,true,""
Sutherland Road,Rowley,8,true,""
Griggs Street,Lechmere,8,true,""
Ipswich,West Natick,8,true,""
Anderson/Woburn,Lincoln,8,true,""
Babcock Street,Hamilton/Wenham,8,true,""
Quincy Adams,Wedgemere,8,true,""
East Weymouth,North Scituate,8,true,""
Orient Heights,Braintree,8,true,""
Charles/MGH,Dean Road,8,true,""
Waltham,South Attleboro,8,true,""
Stoughton,West Newton,8,true,""
Fitchburg,Ashmont,8,true,""
Natick Center,Newton Centre,8,true,""
Canton Junction,Belmont,8,true,""
Prides Crossing,Lincoln,8,true,""
Melrose Highlands,Beachmont,8,true,""
Stony Brook,Swampscott,8,true,""
West Gloucester,Malden Center,8,true,""
Blandford Street,Brookline Hills,8,true,""
Maverick,Whitman,8,true,""
Babcock Street,Riverside,8,true,""
Copley,Manchester,8,true,""
West Natick,Cohasset,8,true,""
Natick Center,Fenwood Road,8,true,""
Lawrence,Ashmont,8,true,""
West Concord,Anderson/Woburn,8,true,""
Dean Road,Stoughton,8,true,""
Chestnut Hill Avenue,Kenmore,8,true,""
North Station,Savin Hill,8,true,""
Beverly Farms,State,8,true,""
Mission Park,Wollaston,8,true,""
Shawmut,Sullivan Square,8,true,""
Whitman,Auburndale,8,true,""
Waltham,Needham Center,8,true,""
Dean Road,South Station,8,true,""
Allston Street,Airport,8,true,""
Chestnut Hill Avenue,Reservoir,8,true,""
