origin,destination,routeCount,ok,mismatches
Andrew,Uphams Corner,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
Boston College,Longwood,3,false,"Mock Route 1;Mock Route 2;Mock Route 3"
State,Dedham Corporate Center,8,true,""
Symphony,Wilmington,8,true,""
Melrose Highlands,Wedgemere,8,true,""
Fields Corner,Wyoming Hill,8,true,""
North Scituate,Roslindale Village,8,true,""
Assembly,Foxboro,8,true,""
Wyoming Hill,North Leominster,8,true,""
South Station,Summit Avenue,8,true,""
Bellevue,Wellesley Hills,8,true,""
Anderson/Woburn,Airport,8,true,""
Windsor Gardens,Reading,8,true,""
Central,Shirley,8,true,""
West Hingham,Norwood Central,8,true,""
Back of the Hill,Shawmut,8,true,""
Fields Corner,Newton Centre,8,true,""
Wedgemere,West Roxbury,8,true,""
Wilmington,Swampscott,8,true,""
Braintree,Forest Hills,8,true,""
